missed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
traditional tradionaltattoo traditionaltattoos marinero chile chiletattoo diseodisponible diseodispo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dios qu hambre ahora quiero un bocadillo de calamares	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
rip brussels victims justdontgetit whatswiththehatred brusselsattack	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
terrible brussels	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
belgique triste	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
may beautiful morning many poor travellers feeling tonight brusselsattack	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
sorry face sorry charlie oyster bar sorrycharliesoysterbar savannah tourism tour tourist mexican	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tech give gift bitcoin christmas bitcoin gift ideas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
world anyway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sad news elton dear friend passing away doc gave 2 weeks live passed 10 days makethemostoflife fragile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
need good tearjerker watch tonight ideas thinking notebook seen loads lt 3 movie love moviehelp gay	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ach keine hrnchen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thought guy dressed like dog bike ahead bus camo	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ah exploded brain need laptop immediately breaks repair costs big money bigprobleme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
saddened news truly rip	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
double fail deliveroo pizza fail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
president obama ortiz president us terror hit boston glad let people dead disrupt plans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
yo se que de alla estas mirando haces mucho falta iaio	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
baffles see difficult themanatthetable decisionmaker difficult	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spamming hillary pics sanders hashtag clinton dirty fucking politics desperate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miss best friend lives another country	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ness depressed depression alone lonely bad hurt pain broken tired mind messedup mental anxiet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
summertimesadness suicidalgirl suicidalquotes suicidalquotes depressing helpmeescape helpme cutwrist	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anime suicidal depression emoboy emo fucklife ihatemyself killmyself	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dans ce genre de moment j ai juste envie tre avec auprs des miens sauf que tous sont loin afraid	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
bae working one stare bussing work even worth firstworldproblems burtonsdrama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nunca quieren para hacer grupo de trabajo en el colegio	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
belgian fashion love anndemeulemeester veroniquebranquhino maisonmargiela peace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4 brussels	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chicks washed 21 days	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ewe obama needs work joke around people dead brussels give shit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
trieste dag vandaag weer aanslagen wanneer houdt het op fikse brand deventer met fatale afloop voor 1 bewoner	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
understand people believe blowing fellow humans somehow act anything horror	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
good one reeling attack fail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
females learn getting heart broken many times	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bold campaign going checked fail loser nottrending	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
brussels belgium peace	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prayers people belgium weapons good n innocent people world prosper time	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1
cory booker us criminal justice creating caste system soo justice	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kind loser likes tweets fail poorlyeducated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thoughts prayers everyone brussels tragedy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tara really thinks baby keep peter around grown hell	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14 teams league took mother miracle comebacks get one team sweet 16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
weakest leader nation ever seen yes mean ever obama pathetic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bravo presidential behavior using brussels tragedy campaign tweet great mind	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wow rather die thenerveofsome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
remember teaching make terrines fighting tooth amp nail chef leaving treatment much	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
yo ya haba preparado	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
utatakho	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
says lonesomeloser reasoning ability badlogic go back middle school pathetic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prayingforbrussels prayforourworld horreur brussels bruxelles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile put greater good safety mind usa taking full body scanners sept10thmentality	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
praying affected terrorist attack missionaries injured explosion brussels	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
